Time, Count
3582, 933
3584, 933
3585, 934
3589, 935
3592, 935
3593, 936
3595, 936
3597, 937
3600, 937
3602, 938
3603, 938
3605, 939
3607, 939
3610, 940
3612, 940
3613, 941
3615, 941
3618, 942
3620, 942
3621, 943
3623, 943
3625, 944
3628, 945
3631, 945
3632, 946
3634, 946
3637, 947
3638, 947
3640, 948
3642, 948
3644, 949
3647, 950
3650, 950
3652, 951
3654, 952
3657, 952
3658, 952
3660, 953
3662, 954
3665, 954
3667, 955
3668, 955
3670, 956
3673, 956
3675, 957
3676, 957
3678, 958
3680, 958
3683, 959
3684, 959
3686, 960
3688, 960
3692, 961
3695, 962
3696, 962
3698, 963
3700, 963
3703, 964
3705, 964
3706, 965
3708, 965
3711, 966
3713, 966
3714, 967
3716, 967
3718, 968
3721, 968
3722, 969
3724, 969
3727, 970
3728, 970
3730, 971
3733, 972
3734, 972
3736, 972
3739, 973
3741, 974
3742, 974
3744, 974
3748, 976
3751, 976
3753, 977
3754, 977
3756, 978
3759, 978
3761, 979
3764, 980
3765, 980
3767, 980
3775, 982
3776, 983
3778, 983
3780, 984
3783, 984
3785, 985
3786, 985
3788, 986
3791, 986
3793, 987
3794, 987
3796, 988
3798, 988
3801, 989
3803, 990
3804, 990
3806, 990
3809, 991
3811, 992
3813, 992
3814, 992
3816, 993
3819, 994
3821, 994
3822, 994
3824, 995
3827, 996
3829, 996
3830, 997
3832, 997
3835, 998
3837, 998
3838, 999
3840, 999
3843, 1000
3845, 1000
3846, 1001
3848, 1001
3850, 1002
3853, 1002
3855, 1003
3857, 1004
3860, 1004
3861, 1005
3863, 1005
3865, 1006
3868, 1006
3869, 1007
3871, 1007
3873, 1008
3876, 1008
3877, 1009
3879, 1009
3881, 1010
3884, 1010
3885, 1011
3887, 1011
3889, 1012
3892, 1012
3894, 1013
3895, 1013
3897, 1014
3900, 1014
3901, 1015
3903, 1015
3905, 1016
3908, 1017
3910, 1017
3911, 1018
3914, 1018
3915, 1019
3919, 1020
3922, 1020
3923, 1021
3925, 1021
3927, 1022
3930, 1022
3931, 1023
3934, 1024
3936, 1024
3942, 1026
3943, 1026
3945, 1026
3948, 1027
3949, 1027
3952, 1028
3954, 1029
3956, 1029
3959, 1030
3960, 1030
3964, 1031
3965, 1032
3967, 1032
3970, 1033
3972, 1033
3974, 1034
3976, 1034
3979, 1035
3980, 1035
3982, 1036
3985, 1036
3987, 1037
3988, 1037
3990, 1038
3993, 1039
3994, 1039
3996, 1040
3999, 1040
4001, 1041
4003, 1041
4004, 1042
4006, 1042
4009, 1043
4010, 1043
4012, 1044
4014, 1044
4017, 1045
4020, 1046
4021, 1046
4023, 1047
4025, 1047
4028, 1048
4029, 1048
4031, 1049
4033, 1049
4036, 1050
4038, 1050
4039, 1051
4041, 1051
4043, 1052
4046, 1052
4047, 1053
4049, 1054
4051, 1054
4054, 1054
4055, 1055
4057, 1056
4059, 1056
4061, 1056
4063, 1057
4065, 1058
4068, 1058
4069, 1058
4071, 1059
4077, 1060
4079, 1061
4080, 1062
4082, 1062
4084, 1062
4087, 1063
4089, 1064
4090, 1064
4092, 1065
4095, 1065
4097, 1066
4098, 1066
4100, 1067
4103, 1067
4105, 1068
4106, 1068
4108, 1069
4113, 1070
4115, 1070
4116, 1071
4118, 1072
4121, 1072
4122, 1072
4124, 1073
4126, 1074
4129, 1074
4131, 1074
4132, 1075
4135, 1076
4136, 1076
4138, 1076
4141, 1077
4142, 1077
4144, 1078
4146, 1078
4148, 1079
4151, 1080
4152, 1080
4155, 1081
4157, 1081
4160, 1082
4162, 1082
4163, 1083
4165, 1083
4168, 1084
4170, 1084
4171, 1085
4173, 1085
4176, 1086
4178, 1086
4179, 1087
4181, 1088
4183, 1088
4186, 1089
4187, 1089
4189, 1090
4191, 1090
4194, 1091
4195, 1091
4198, 1092
4200, 1092
4201, 1093
4203, 1093
4205, 1094
4207, 1094
4209, 1095
4211, 1095
4214, 1096
4217, 1097
4218, 1097
4220, 1098
4222, 1098
4225, 1099
4226, 1099
4228, 1100
4230, 1100
4233, 1101
4234, 1101
4237, 1102
4239, 1102
4240, 1102
4242, 1103
4245, 1104
4247, 1104
4248, 1105
4250, 1105
4252, 1106
4255, 1106
4256, 1107
4259, 1107
4262, 1108
4264, 1108
4265, 1109
4267, 1109
4280, 1113
4281, 1113
4283, 1114
4286, 1114
4287, 1115
4289, 1115
4291, 1116
4295, 1117
4297, 1117
4299, 1118
4305, 1119
4307, 1120
4308, 1120
4310, 1121
4313, 1121
4315, 1122
4316, 1122
4318, 1123
4320, 1123
4323, 1124
4324, 1124
4326, 1125
4328, 1125
4331, 1126
4333, 1126
4334, 1127
4336, 1127
4338, 1128
4341, 1128
4343, 1129
4344, 1129
4346, 1130
4349, 1130
4350, 1131
4352, 1131
4354, 1132
4356, 1132
4359, 1133
4361, 1133
4362, 1134
4364, 1134
4367, 1135
4369, 1135
4370, 1136
4372, 1136
4374, 1137
4377, 1137
4378, 1138
4380, 1138
4382, 1139
4385, 1140
4386, 1140
4388, 1140
4390, 1141
4393, 1142
4395, 1142
4398, 1143
4406, 1145
4409, 1146
4411, 1146
4413, 1147
4415, 1147
4416, 1148
4418, 1148
4420, 1149
4422, 1149
4424, 1150
4426, 1150
4428, 1151
4431, 1151
4436, 1153
4438, 1153
4441, 1154
4443, 1154
4444, 1155
4446, 1155
4448, 1156
4451, 1156
4452, 1157
4454, 1157
4457, 1158
4460, 1159
4462, 1159
4465, 1160
4470, 1162
4472, 1162
4475, 1163
4477, 1163
4479, 1164
4482, 1164
4483, 1165
4485, 1165
4487, 1166
4490, 1166
4492, 1167
4493, 1168
4495, 1168
4497, 1169
4500, 1169
4501, 1170
4503, 1170
4505, 1171
4507, 1171
4510, 1172
4511, 1172
4513, 1173
4515, 1173
4518, 1174
4520, 1174
4521, 1175
4523, 1175
4525, 1176
4528, 1176
4530, 1177
4531, 1177
4533, 1178
4536, 1178
4538, 1179
4539, 1179
4541, 1180
4543, 1180
4546, 1181
4547, 1181
4549, 1182
4551, 1182
4554, 1183
4555, 1183
4558, 1184
4559, 1184
4561, 1185
4563, 1186
4565, 1186
4567, 1186
4569, 1187
4571, 1188
4574, 1188
4576, 1189
4577, 1189
4579, 1190
4581, 1190
4583, 1191
4585, 1191
4587, 1192
4589, 1192
4592, 1193
4594, 1194
4595, 1194
4598, 1195
4599, 1195
4601, 1195
4603, 1196
4606, 1197
4608, 1197
4610, 1198
4613, 1198
4614, 1199
4617, 1199
4618, 1200
4620, 1200
4622, 1201
4625, 1201
4626, 1202
4630, 1203
4631, 1203
4633, 1204
4636, 1204
4638, 1205
4639, 1205
4641, 1206
4643, 1206
4646, 1207
4651, 1208
4654, 1209
4656, 1210
4657, 1210
4659, 1210
4661, 1211
4664, 1212
4667, 1212
4669, 1213
4670, 1213
4672, 1214
4675, 1214
4677, 1215
4679, 1216
4682, 1216
4683, 1217
4685, 1217
4687, 1218
4690, 1218
4691, 1219
4693, 1219
4700, 1221
4701, 1221
4704, 1222
4706, 1222
4708, 1223
4710, 1224
4713, 1224
4715, 1225
4716, 1225
4719, 1226
4721, 1226
4722, 1227
4724, 1227
4727, 1228
4728, 1228
4730, 1229
4733, 1229
4734, 1230
4736, 1230
4739, 1231
4740, 1231
4742, 1232
4744, 1232
4746, 1233
4749, 1234
4750, 1234
4752, 1235
4754, 1235
4757, 1236
4761, 1237
4762, 1237
4764, 1238
4766, 1238
4769, 1239
4770, 1239
4772, 1240
4774, 1240
4777, 1241
4778, 1241
4781, 1242
4783, 1243
4784, 1243
4786, 1243
4789, 1244
4790, 1244
4792, 1245
4794, 1246
4797, 1246
4798, 1246
4800, 1247
4803, 1248
4804, 1248
4809, 1249
4811, 1250
4812, 1250
4814, 1250
4816, 1251
4818, 1252
4821, 1252
4822, 1252
4825, 1253
4827, 1254
4829, 1254
4832, 1255
4833, 1255
4835, 1256
4837, 1256
4840, 1257
4841, 1257
4843, 1258
4845, 1258
4848, 1259
4849, 1260
4851, 1260
4853, 1260
4855, 1261
4858, 1262
4860, 1262
4861, 1263
4863, 1263
4865, 1264
4868, 1264
4869, 1265
4871, 1265
4873, 1266
4876, 1266
4877, 1267
4879, 1267
4881, 1268
4884, 1268
4886, 1269
4887, 1269
4889, 1270
4891, 1270
4894, 1271
4895, 1271
4897, 1272
4900, 1272
4901, 1273
4903, 1273
4906, 1274
4908, 1274
4909, 1275
4911, 1275
4913, 1276
4916, 1276
4917, 1277
4920, 1278
4922, 1278
4925, 1279
4926, 1279
4928, 1280
4930, 1280
4932, 1281
4935, 1281
4937, 1282
4938, 1282
4940, 1283
4942, 1283
4944, 1284
4946, 1284
4948, 1285
4951, 1285
4953, 1286
4954, 1286
4956, 1287
4959, 1288
4963, 1288
4964, 1289
4966, 1290
4968, 1290
4971, 1291
4972, 1291
